Activation,Optimizer,Accuracy,Loss,Time
relu,SGD,0.6406999826431274,1.0426416397094727,152.01537409983575
relu,rmsprop,0.7290999889373779,0.8884520530700684,195.98589310003445
relu,adam,0.7014999985694885,0.9194461703300476,177.80496879993007
relu,adamw,0.7128000259399414,0.8589537143707275,163.0085239999462
relu,adadelta,0.18709999322891235,2.2114570140838623,164.46114720008336
relu,adagrad,0.42260000109672546,1.634474754333496,160.64322770014405
relu,nadam,0.7159000039100647,0.8553403615951538,161.82434229995124
relu,ftrl,0.10000000149011612,2.302586078643799,160.3005332001485
relu,lion,0.5055999755859375,1.373811960220337,157.37403210019693
sigmoid,SGD,0.10000000149011612,2.3049676418304443,160.083812299883
sigmoid,rmsprop,0.5080000162124634,1.3640550374984741,167.90228600008413
sigmoid,adam,0.578000009059906,1.1905429363250732,170.7222105001565
sigmoid,adamw,0.5473999977111816,1.2598103284835815,173.89868630003184
sigmoid,adadelta,0.10000000149011612,2.3025717735290527,171.3530541001819
sigmoid,adagrad,0.10000000149011612,2.302797794342041,163.2780607000459
sigmoid,nadam,0.5712000131607056,1.1988797187805176,177.37067189998925
sigmoid,ftrl,0.10000000149011612,2.3025872707366943,171.15127189992927
sigmoid,lion,0.10000000149011612,2.3087151050567627,168.95235179993324
softmax,SGD,0.10000000149011612,2.3026084899902344,303.2056064000353
softmax,rmsprop,0.10000000149011612,2.3026480674743652,201.47699319990352
softmax,adam,0.33340001106262207,1.7829387187957764,212.1628939998336
softmax,adamw,0.3840000033378601,1.6485906839370728,229.8765372999478
softmax,adadelta,0.10000000149011612,2.3030624389648438,219.7118458999321
softmax,adagrad,0.10000000149011612,2.302612543106079,233.08822109992616
softmax,nadam,0.39329999685287476,1.6123493909835815,283.63452559988946
softmax,ftrl,0.10000000149011612,2.302584409713745,269.1467448999174
softmax,lion,0.6523000001907349,1.0245438814163208,227.55980799999088
softplus,SGD,0.49549999833106995,1.427743673324585,219.02801649994217
softplus,rmsprop,0.5759999752044678,1.2681827545166016,220.05361680011265
softplus,adam,0.5789999961853027,1.2532474994659424,221.4742417000234
softplus,adamw,0.5803999900817871,1.2377349138259888,203.40246060001664
softplus,adadelta,0.10369999706745148,2.301041841506958,203.51399379991926
softplus,adagrad,0.2856999933719635,2.0046088695526123,198.38502859999426
softplus,nadam,0.5874000191688538,1.1991961002349854,202.3962694001384
softplus,ftrl,0.10000000149011612,2.302605628967285,203.0875874001067
softplus,lion,0.5024999976158142,1.3569380044937134,198.99834839999676
softsign,SGD,0.6168000102043152,1.1024260520935059,173.60849989997223
softsign,rmsprop,0.6940000057220459,0.9114254713058472,177.51373609993607
softsign,adam,0.6967999935150146,0.9054098725318909,181.09021129994653
softsign,adamw,0.6812000274658203,0.9471004009246826,182.77078190003522
softsign,adadelta,0.2612999975681305,2.0666940212249756,182.96489730011672
softsign,adagrad,0.4345000088214874,1.600344181060791,177.95155210001394
softsign,nadam,0.6952999830245972,0.8912139534950256,188.12727560009807
softsign,ftrl,0.10000000149011612,2.3025848865509033,184.02213140018284
softsign,lion,0.17560000717639923,2.0982649326324463,180.18267260002904
tanh,SGD,0.644599974155426,1.01765775680542,167.07913239998743
tanh,rmsprop,0.6700999736785889,1.0006701946258545,171.2647457998246
tanh,adam,0.6697999835014343,0.9999220967292786,176.28242449997924
tanh,adamw,0.6636999845504761,1.0206094980239868,3066.8656069000717
tanh,adadelta,0.3037000000476837,2.016314744949341,173.19701820006594
tanh,adagrad,0.47369998693466187,1.4973429441452026,173.98114859987982
tanh,nadam,0.67330002784729,0.9665170907974243,174.7799435001798
tanh,ftrl,0.10000000149011612,2.302584648132324,174.72445320012048
tanh,lion,0.10000000149011612,2.3112752437591553,168.93544010003097
selu,SGD,0.646399974822998,1.0097241401672363,167.66471080016345
selu,rmsprop,0.6528000235557556,1.1575223207473755,172.27023030002601
selu,adam,0.6693999767303467,1.0331478118896484,174.18250770005397
selu,adamw,0.6615999937057495,1.0640175342559814,177.31914389994927
selu,adadelta,0.3440999984741211,1.8722480535507202,174.03352709999308
selu,adagrad,0.5194000005722046,1.3574988842010498,170.23623910010792
selu,nadam,0.6884999871253967,1.0026450157165527,177.7893857997842
selu,ftrl,0.10000000149011612,2.3025853633880615,176.47903309995309
selu,lion,0.10000000149011612,2.3461177349090576,175.37707699998282
elu,SGD,0.6592000126838684,0.9847795963287354,164.44326249998994
elu,rmsprop,0.6937999725341797,1.0048447847366333,166.7848634000402
elu,adam,0.6987000107765198,1.02346932888031,168.31188559997827
elu,adamw,0.7093999981880188,0.9816779494285583,168.99919810006395
elu,adadelta,0.32260000705718994,1.9708435535430908,172.81393889989704
elu,adagrad,0.4708000123500824,1.4911576509475708,166.3720424999483
elu,nadam,0.7020999789237976,0.9916357398033142,168.3349470999092
elu,ftrl,0.10000000149011612,2.302584409713745,168.7300271000713
elu,lion,0.10000000149011612,2.342958688735962,165.1344478998799
exponential,SGD,0.10000000149011612,nan,164.87191820004955
exponential,rmsprop,0.10000000149011612,nan,169.89572230004705
exponential,adam,0.10000000149011612,nan,169.70844419999048
exponential,adamw,0.10000000149011612,nan,178.0714455000125
exponential,adadelta,0.21559999883174896,2.1119325160980225,177.50560000003316
exponential,adagrad,0.1274999976158142,4818.2705078125,171.50781899993308
exponential,nadam,0.10000000149011612,nan,170.37902139988728
exponential,ftrl,0.10000000149011612,nan,169.6672387998551
exponential,lion,0.10000000149011612,nan,166.5451738999691
leaky_relu,SGD,0.6342999935150146,1.0405769348144531,167.48700590012595
leaky_relu,rmsprop,0.7206000089645386,0.8941808342933655,171.20751670002937
leaky_relu,adam,0.7258999943733215,0.8824583888053894,177.77060479996726
leaky_relu,adamw,0.7091000080108643,0.8999517560005188,177.35922850016505
leaky_relu,adadelta,0.2549999952316284,2.1852784156799316,267.45283399987966
leaky_relu,adagrad,0.41200000047683716,1.6323028802871704,171.7665555998683
leaky_relu,nadam,0.7293000221252441,0.8777998089790344,179.38593530002981
leaky_relu,ftrl,0.10000000149011612,2.3025848865509033,184.49911860004067
leaky_relu,lion,0.6657000184059143,1.0395100116729736,179.92535070003942
relu6,SGD,0.618399977684021,1.0972692966461182,169.1462361998856
relu6,rmsprop,0.7128000259399414,0.9969886541366577,170.6457778001204
relu6,adam,0.6926000118255615,0.9215450882911682,183.75344450003468
relu6,adamw,0.713100016117096,0.8767863512039185,202.97689660009928
relu6,adadelta,0.18559999763965607,2.2201125621795654,183.60592429991812
relu6,adagrad,0.4196000099182129,1.6234792470932007,175.06527849985287
relu6,nadam,0.7164999842643738,0.8578954339027405,185.5584143998567
relu6,ftrl,0.10000000149011612,2.302584648132324,190.25485919998027
relu6,lion,0.36730000376701355,1.7495266199111938,173.00340149994008
